company,movie,year,adjusted,worldwide,domestic,foreign ,,
Marvel,Avengers,2012,"$1,575,847,963","$1,518,594,910","$623,357,910","$895,237,000",,
Marvel,Iron Man 3,2013,"$1,243,055,923","$1,215,439,994","$409,013,994","$806,426,000",,
DC,The Dark Knight Rises,2012,"$1,125,323,899","$1,084,439,099","$448,139,099","$636,300,000",,
DC,The Dark Knight,2008,"$1,111,624,312","$1,004,558,444","$534,858,444","$469,700,000",,
DC,Superman,1978,"$1,097,039,000","$300,218,018","$134,218,018","$166,000,000",,
Marvel,Spider-Man,2002,"$1,088,227,139","$821,708,551","$403,706,375","$418,002,176",,
Marvel,Spider-Man 3,2007,"$1,023,671,832","$890,871,626","$336,530,303","$554,341,323",,
Marvel,Spider-Man 2,2004,"$988,524,779","$783,766,341","$373,585,825","$410,180,516",,
DC,Batman,1989,"$790,353,880","$411,348,924","$251,188,924","$160,160,000",,
Marvel,The Amazing Spider-Man,2012,"$786,505,660","$757,930,663","$262,030,663","$495,900,000",,
Marvel,X-Men: Days of Future Past,2014,"$744,047,433","$744,047,433","$232,485,000","$511,562,433",,
Marvel,Captain America: The Winter Soldier,2014,"$714,025,900","$714,025,900","$259,708,900","$454,317,000",,
Marvel,The Amazing Spider-Man 2,2014,"$708,219,235","$708,219,235","$202,778,224","$505,441,011",,
DC,Man of Steel,2013,"$683,224,134","$668,045,518","$291,045,518","$377,000,000",,
Marvel,Iron Man 2,2010,"$681,718,448","$623,933,331","$312,433,331","$311,500,000",,
Marvel,Thor: The Dark World,2013,"$659,433,213","$644,783,140","$206,362,140","$438,421,000",,
Marvel,Iron Man,2008,"$647,542,108","$585,174,222","$318,412,101","$266,762,121",,
Marvel,X-Men: The Last Stand,2006,"$542,869,117","$459,359,555","$234,362,462","$224,997,093",,
Marvel,X2: X-Men United,2003,"$527,919,981","$407,711,549","$214,949,694","$192,761,855",,
DC,Batman Forever,1995,"$526,102,812","$336,529,144","$184,031,112","$152,498,032",,
Marvel,Thor,2011,"$475,915,989","$449,326,618","$181,030,624","$268,295,994",,
DC,Superman Returns,2006,"$462,178,046","$391,081,192","$200,081,192","$191,000,000",,
DC,Batman Begins,2005,"$456,516,123","$374,218,673","$206,852,432","$167,366,241",,
DC,Batman Returns,1992,"$453,103,534","$266,822,354","$162,831,698","$103,990,656",,
Marvel,The Wolverine,2013,"$424,253,530","$414,828,246","$132,556,852","$282,271,394",,
Marvel,Guardians of the Galaxy,2014,"$418,681,000","$418,681,000","$222,281,000","$196,400,000",,
Marvel,X-Men Origins: Wolverine,2009,"$414,297,894","$373,062,864","$179,883,157","$193,179,707",,
Marvel,X-Men,2000,"$410,005,182","$296,339,527","$157,299,717","$139,039,810",,
Marvel,Fantastic Four,2005,"$403,280,174","$330,579,719","$154,696,080","$175,883,639",,
Marvel,Captain America: The First Avenger,2011,"$392,498,627","$370,569,774","$176,654,505","$193,915,269",,
Marvel,X-Men: First Class,2011,"$374,550,200","$353,624,124","$146,408,305","$207,215,819",,
DC,Batman & Robin,1997,"$353,600,292","$238,207,122","$107,325,195","$130,881,927",,
Marvel,Fantastic Four: Rise of the Silver Surfer,2007,"$332,135,455","$289,047,763","$131,921,738","$157,126,025",,
Marvel,Hulk,2003,"$317,701,817","$245,360,480","$132,177,234","$113,183,246",,
DC,Superman II,1980,"$312,806,365","$108,185,706","$108,185,706",,,
Marvel,The Incredible Hulk,2008,"$291,503,667","$263,427,551","$134,806,913","$128,620,638",,
DC,Constantine,2005,"$281,660,453","$230,884,728","$75,976,178","$154,908,550",,
Marvel,Ghost Rider,2007,"$262,835,905","$228,738,393","$115,802,596","$112,935,797",,
